m_ref,cons_12m,cons_gas_12m,cons_last_month,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,price_off_peak_var,price_peak_var,price_mid_peak_var,price_off_peak_fix,price_peak_fix,price_mid_peak_fix,price_off_peak_var_roll1_mean,price_peak_var_roll1_mean,price_mid_peak_var_roll1_mean,price_off_peak_fix_roll1_mean,price_peak_fix_roll1_mean,price_mid_peak_fix_roll1_mean,price_off_peak_var_roll3_mean,price_off_peak_var_roll3_std,price_peak_var_roll3_mean,price_peak_var_roll3_std,price_mid_peak_var_roll3_mean,price_mid_peak_var_roll3_std,price_off_peak_fix_roll3_mean,price_off_peak_fix_roll3_std,price_peak_fix_roll3_mean,price_peak_fix_roll3_std,price_mid_peak_fix_roll3_mean,price_mid_peak_fix_roll3_std,price_off_peak_var_roll6_mean,price_off_peak_var_roll6_std,price_peak_var_roll6_mean,price_peak_var_roll6_std,price_mid_peak_var_roll6_mean,price_mid_peak_var_roll6_std,price_off_peak_fix_roll6_mean,price_off_peak_fix_roll6_std,price_peak_fix_roll6_mean,price_peak_fix_roll6_std,price_mid_peak_fix_roll6_mean,price_mid_peak_fix_roll6_std,price_off_peak_var_roll12_mean,price_off_peak_var_roll12_std,price_peak_var_roll12_mean,price_peak_var_roll12_std,price_mid_peak_var_roll12_mean,price_mid_peak_var_roll12_std,price_off_peak_fix_roll12_mean,price_off_peak_fix_roll12_std,price_peak_fix_roll12_mean,price_peak_fix_roll12_std,price_mid_peak_fix_roll12_mean,price_mid_peak_fix_roll12_std,price_off_peak_var_mom,price_peak_var_mom,price_mid_peak_var_mom,price_off_peak_fix_mom,price_peak_fix_mom,price_mid_peak_fix_mom,spread_var,spread_fix,price_peak_var_roll_best_mean,price_peak_var_roll_best_mean_na,price_mid_peak_var_roll_best_mean,price_mid_peak_var_roll_best_mean_na,price_off_peak_var_roll_best_mean,price_off_peak_var_roll_best_mean_na,price_peak_fix_roll_best_mean,price_peak_fix_roll_best_mean_na,price_mid_peak_fix_roll_best_mean,price_mid_peak_fix_roll_best_mean_na,price_off_peak_fix_roll_best_mean,price_off_peak_fix_roll_best_mean_na,spread_var_best,spread_fix_best,short_history_flag,channel_sales_epumfxlbckeskwekxbiuasklxalciiuu,channel_sales_ewpakwlliwisiwduibdlfmalxowmwpci,channel_sales_fixdbufsefwooaasfcxdxadsiekoceaa,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,channel_sales_lmkebamcaaclubfxadlmueccxoimlema,channel_sales_sddiedcslfslkckwlfkdpoeeailfpeds,channel_sales_usilxuppasemubllopkaafesmlibmsdf,has_gas_t,origin_up_ewxeelcelemmiwuafmddpobolfuxioce,origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_up_ldkssxwpmemidmecebumciepifcamkci,origin_up_lxidpiddsbxsbosboudacockeimpuepw,origin_up_usapbepcfoloekilkwsdiboslwaxobdp,cutoff_month_x_2015-02-28,cutoff_month_x_2015-03-31,cutoff_month_x_2015-04-30,cutoff_month_x_2015-05-31,cutoff_month_x_2015-06-30,cutoff_month_x_2015-07-31,cutoff_month_x_2015-08-31,cutoff_month_x_2015-09-30,cutoff_month_x_2015-10-31,cutoff_month_x_2015-11-30,cutoff_month_y_2015-02-28,cutoff_month_y_2015-03-31,cutoff_month_y_2015-04-30,cutoff_month_y_2015-05-31,cutoff_month_y_2015-06-30,cutoff_month_y_2015-07-31,cutoff_month_y_2015-08-31,cutoff_month_y_2015-09-30,cutoff_month_y_2015-10-31,cutoff_month_y_2015-11-30
2015-06-23,0.0,54946.0,0.0,0.0,0.0,0.0,1.78,0.114481,0.098142,40.606701,0.0,25.44,25.44,2.0,678.99,3.0,43.648,0.125976,0.103395,0.071536,40.565973,24.33957804,16.22638296,0.125976,0.103395,0.071536,40.565973,24.33957804,16.22638296,0.125976,0.0,0.103395,0.0,0.071536,0.0,40.565973,0.0,24.33957804,0.0,16.22638296,0.0,0.125976,0.0,0.103395,0.0,0.071536,0.0,40.565971559999994,1.971801212602199e-06,24.339579096,1.445987551674142e-06,16.226385263999997,3.1548819317583052e-06,0.125976,0.0,0.103395,0.0,0.071536,0.0,40.565971559999994,1.971801212602199e-06,24.339579096,1.445987551674142e-06,16.226385263999997,3.1548819317583052e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.022581000000000004,-16.22639496,0.103395,0.0,0.071536,0.0,0.125976,0.0,24.339579096,0.0,16.226385263999997,0.0,40.565971559999994,0.0,-0.022581000000000004,-16.226392463999993,0.0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2015-08-31,4660.0,0.0,0.0,189.95,0.0,0.0,16.27,0.1457109999999999,0.0,44.31137796,0.0,16.38,16.38,1.0,18.89,6.0,13.8,0.151367,0.0,0.0,44.26692996,0.0,0.0,0.151367,0.0,0.0,44.26692996,0.0,0.0,0.151367,0.0,0.0,0.0,0.0,0.0,44.26692996,0.0,0.0,0.0,0.0,0.0,0.151367,0.0,0.0,0.0,0.0,0.0,44.266930359999996,6.19677336442976e-07,0.0,0.0,0.0,0.0,0.151367,0.0,0.0,0.0,0.0,0.0,44.26693047428571,6.414269820879048e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.151367,-44.26692996,0.0,0.0,0.0,0.0,0.151367,0.0,0.0,0.0,0.0,0.0,44.26693047428571,0.0,-0.151367,-44.26693047428571,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2015-04-17,544.0,0.0,0.0,47.96,0.0,0.0,38.72,0.165794,0.087899,44.31137796,0.0,28.6,28.6,1.0,6.6,6.0,13.856,0.172468,0.087881,0.0,44.26693116,0.0,0.0,0.172468,0.087881,0.0,44.26693116,0.0,0.0,0.172468,0.0,0.087881,0.0,0.0,0.0,44.26693116,0.0,0.0,0.0,0.0,0.0,0.172468,0.0,0.087881,0.0,0.0,0.0,44.26693116,0.0,0.0,0.0,0.0,0.0,0.172468,0.0,0.087881,0.0,0.0,0.0,44.26693116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08458700000000001,-44.26693116,0.087881,0.0,0.0,0.0,0.172468,0.0,0.0,0.0,0.0,0.0,44.26693116,0.0,-0.08458700000000001,-44.26693116,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2015-03-31,1584.0,0.0,0.0,240.04,0.0,0.0,19.83,0.146694,0.0,44.31137796,0.0,30.22,30.22,1.0,25.46,6.0,13.2,0.153133,0.0,0.0,44.26693116,0.0,0.0,0.153133,0.0,0.0,44.26693116,0.0,0.0,0.153133,0.0,0.0,0.0,0.0,0.0,44.26693116,0.0,0.0,0.0,0.0,0.0,0.153133,0.0,0.0,0.0,0.0,0.0,44.26693116,0.0,0.0,0.0,0.0,0.0,0.153133,0.0,0.0,0.0,0.0,0.0,44.26693116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.153133,-44.26693116,0.0,0.0,0.0,0.0,0.153133,0.0,0.0,0.0,0.0,0.0,44.26693116,0.0,-0.153133,-44.26693116,0.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2015-03-09,4425.0,0.0,526.0,445.75,526.0,0.0,131.73,0.1169,0.1000149999999999,40.606701,52.32,44.91,44.91,1.0,47.98,6.0,19.8,0.126098,0.103975,0.070232,40.56596939999999,24.33958068,16.22638872,0.126098,0.103975,0.070232,40.56596939999999,24.33958068,16.22638872,0.126098,0.0,0.103975,0.0,0.070232,0.0,40.56596939999999,0.0,24.33958068,0.0,16.22638872,0.0,0.126098,0.0,0.103975,0.0,0.070232,0.0,40.56596939999999,0.0,24.33958068,0.0,16.22638872,0.0,0.126098,0.0,0.103975,0.0,0.070232,0.0,40.56596939999999,0.0,24.33958068,0.0,16.22638872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02212299999999999,-16.226388719999992,0.103975,0.0,0.070232,0.0,0.126098,0.0,24.33958068,0.0,16.22638872,0.0,40.56596939999999,0.0,-0.02212299999999999,-16.226388719999992,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2015-12-10,8302.0,0.0,1998.0,796.94,1998.0,0.0,30.12,0.164775,0.086131,45.30837756,181.21,33.12,33.12,1.0,118.89,4.0,13.2,0.163659,0.084587,0.0,44.26692996,0.0,0.0,0.163659,0.084587,0.0,44.26692996,0.0,0.0,0.164812,0.001997054581126967,0.08574533333333334,0.002006292185433955,0.0,0.0,44.26692996,0.0,0.0,0.0,0.0,0.0,0.1675076666666667,0.0036291896983578317,0.08715466666666664,0.0020172131931619095,0.0,0.0,44.26692996,0.0,0.0,0.0,0.0,0.0,0.16943418181818182,0.003388899078408272,0.08790936363636358,0.0016692524238548583,0.0,0.0,44.266930505454546,6.266795608022907e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.079072,-44.26692996,0.08790936363636358,0.0,0.0,0.0,0.16943418181818182,0.0,0.0,0.0,0.0,0.0,44.266930505454546,0.0,-0.08152481818181824,-44.266930505454546,0.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2015-12-03,45097.0,0.0,0.0,8069.28,0.0,0.0,0.0,0.166178,0.087538,44.31137796,0.0,4.04,4.04,1.0,346.63,4.0,15.0,0.1633609999999999,0.0843049999999999,0.0,44.26692996,0.0,0.0,0.1633609999999999,0.0843049999999999,0.0,44.26692996,0.0,0.0,0.1633609999999999,0.0,0.0843049999999999,0.0,0.0,0.0,44.26692996,0.0,0.0,0.0,0.0,0.0,0.1649036666666666,0.0023898889234997885,0.08455599999999992,0.0003888475279592838,0.0,0.0,44.26692996,0.0,0.0,0.0,0.0,0.0,0.16630609090909088,0.0023349416033188785,0.08478418181818177,0.00037990730926951426,0.0,0.0,44.26692996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.079056,-44.26692996,0.08478418181818177,0.0,0.0,0.0,0.16630609090909088,0.0,0.0,0.0,0.0,0.0,44.26692996,0.0,-0.0815219090909091,-44.26692996,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2015-04-22,29552.0,0.0,1260.0,864.73,751.0,0.0,144.49,0.115174,0.098837,40.606701,70.63,53.92,53.92,1.0,100.09,6.0,26.4,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872,0.125976,0.0,0.103395,0.0,0.071536,0.0,40.56596939999999,0.0,24.33958068,0.0,16.22638872,0.0,0.125976,0.0,0.103395,0.0,0.071536,0.0,40.56596939999999,0.0,24.33958068,0.0,16.22638872,0.0,0.125976,0.0,0.103395,0.0,0.071536,0.0,40.56596939999999,0.0,24.33958068,0.0,16.22638872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022581000000000004,-16.226388719999992,0.103395,0.0,0.071536,0.0,0.125976,0.0,24.33958068,0.0,16.22638872,0.0,40.56596939999999,0.0,-0.022581000000000004,-16.226388719999992,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2015-09-25,2962.0,0.0,0.0,444.38,0.0,0.0,15.85,0.1457109999999999,0.0,44.31137796,0.0,12.82,12.82,1.0,42.59,4.0,13.2,0.146905,0.0,0.0,44.26692996,0.0,0.0,0.146905,0.0,0.0,44.26692996,0.0,0.0,0.14987966666666666,0.0025761369011241026,0.0,0.0,0.0,0.0,44.26692996,0.0,0.0,0.0,0.0,0.0,0.15062333333333333,0.001821603872049753,0.0,0.0,0.0,0.0,44.26693036,6.196773361219187e-07,0.0,0.0,0.0,0.0,0.15080925,0.001577555228827186,0.0,0.0,0.0,0.0,44.26693056,6.414269825739597e-07,0.0,0.0,0.0,0.0,-0.004461999999999994,0.0,0.0,0.0,0.0,0.0,-0.146905,-44.26692996,0.0,0.0,0.0,0.0,0.15080925,0.0,0.0,0.0,0.0,0.0,44.26693056,0.0,-0.15080925,-44.26693056,0.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2015-05-05,26064.0,0.0,2188.0,2738.1,2188.0,0.0,130.43,0.1157609999999999,0.099419,40.606701,219.59,33.42,33.42,1.0,329.6,6.0,31.5,0.128214,0.105543,0.073555,40.728885,24.43733004,16.29155496,0.128214,0.105543,0.073555,40.728885,24.43733004,16.29155496,0.126666,0.0013406073250583057,0.10399499999999999,0.0013406073250583157,0.072007,0.0013406073250583057,40.728885,0.0,24.43733004,0.0,16.29155496,0.0,0.1264725,0.001161,0.10380149999999999,0.0011610000000000034,0.0718135,0.0011609999999999954,40.728885,0.0,24.43733004,0.0,16.29155496,0.0,0.1264725,0.001161,0.10380149999999999,0.0011610000000000034,0.0718135,0.0011609999999999954,40.728885,0.0,24.43733004,0.0,16.29155496,0.0,0.0023219999999999907,0.0023220000000000046,0.0023219999999999907,0.0,0.0,0.0,-0.022670999999999997,-16.29155496,0.10380149999999999,0.0,0.0718135,0.0,0.1264725,0.0,24.43733004,0.0,16.29155496,0.0,40.728885,0.0,-0.022670999999999997,-16.29155496,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
