tenure_years,tenure_risk_score,margin_net_pow_ele,cons_12m,cons_last_month,cons_trend_ratio,engagement_score,dual_fuel_flag,multi_product_flag,price_var_mean_all,price_fix_mean_all,price_var_volatility,price_fix_volatility,price_stability_score,price_spread_peak_offpeak,total_price_burden,channel_encoded,cons_level_bucket,cons_trend_category,tenure_risk_bucket
3,0.25,25.44,0,0,0.0,3,1,1,0.09735561111111111,26.065205376666665,0.01131260088110224,4.260726319298946,0.19008782044629566,-0.1926285696350545,0.3580076648777778,0.1964761622742079,Very_Low,Unknown,2-3yr
6,0.14285714285714285,28.6,544,0,0.0,3,0,0,0.08631097222222221,14.795150119999997,0.0009671075787253339,0.029177410075354914,0.9716497760349999,-0.4814329531725892,0.23426247342222217,0.1964761622742079,Very_Low,Unknown,5-10yr
6,0.14285714285714285,30.22,1584,0,0.0,3,0,0,0.05040336111111111,14.80008842,0.0007722042627444351,0.026801162512710173,0.9738983909531964,-0.9999933867281554,0.1984042453111111,0.18610960390667391,Very_Low,Unknown,5-10yr
4,0.2,33.12,8302,1998,2.8879787961147017,3,0,0,0.08552847222222221,14.755643486666665,0.001831378589248713,2.0597146002746024e-07,0.9999997940285823,-0.4813171441719566,0.23308490708888885,0.13818181818181818,Low,Growing,3-5yr
4,0.2,4.04,45097,0,0.0,3,0,0,0.08360163888888884,14.755643319999999,0.0009236103561932409,0.0,1.0,-0.48967602396700033,0.23115807208888883,0.1964761622742079,High,Unknown,3-5yr
6,0.14285714285714285,53.92,29552,1260,0.5116404978972765,2,0,0,0.09961766666666666,27.11638653333333,0.0024732352612810518,0.05347606428744775,0.9492384629321238,-0.16540383050877375,0.37078153199999997,0.1964761622742079,High,Declining,5-10yr
4,0.2,12.82,2962,0,0.0,3,0,0,0.04989386111111111,14.770458453333333,0.0006984991335444081,0.02680126301709415,0.973898295627001,-0.9999933191960098,0.19759844564444443,0.13818181818181818,Very_Low,Unknown,3-5yr
6,0.14285714285714285,33.42,26064,2188,1.0073664820408075,3,0,0,0.10003891666666666,27.15259,0.002574283147947804,0.0,1.0,-0.1655634819750879,0.37156481666666663,0.18610960390667391,High,Stable,5-10yr
6,0.14285714285714285,21.09,4442,2489,6.723998180844669,3,0,0,0.0856491111111111,14.845767386666665,0.0008313539246250999,0.20238847340709196,0.8316779660789634,-0.481940191222663,0.23410678497777776,0.1964761622742079,Very_Low,Growing,5-10yr
3,0.25,33.12,7726,0,0.0,3,0,0,0.08560566666666665,14.770458419999999,0.0017026048286773682,0.026801283117790658,0.9738982765619352,-0.4819628202981078,0.23331025086666662,0.1964761622742079,Low,Unknown,2-3yr
5,0.16666666666666666,15.78,9707,0,0.0,3,0,0,0.08360163888888884,14.75564342,0.0009236103561932409,1.8090680734873012e-07,0.9999998190932254,-0.48967602396700033,0.23115807308888886,0.18120805369127516,Low,Unknown,3-5yr
6,0.14285714285714285,25.68,786536,85883,1.3102973035999324,5,1,1,0.08481008333333333,14.75564342,0.0010273179256521197,1.8090680734873012e-07,0.9999998190932254,-0.48563349516007775,0.23236651753333332,0.18120805369127516,Very_High,Growing,5-10yr
5,0.16666666666666666,19.29,30776,0,0.0,3,0,0,0.09710400000000001,27.098284666666668,0.0023916976051232097,0.05672007081131369,0.9463244123225881,-0.16818550321686876,0.3680868466666667,0.1964761622742079,High,Unknown,3-5yr
5,0.16666666666666666,21.57,24838,2877,1.3899669853981962,5,0,0,0.09948824999999999,27.10733566666666,0.002452236435846851,0.055926606707092597,0.9470355170976328,-0.166058452368914,0.3705616066666666,0.18120805369127516,High,Growing,3-5yr
6,0.14285714285714285,6.6,16782,1908,1.3643189121456425,4,1,1,0.10044738888888888,27.062080666666663,0.0022642153001327064,0.042276852326279805,0.9594379821139449,-0.16288478925026822,0.37106819555555554,0.1964761622742079,Medium,Growing,5-10yr
5,0.16666666666666666,47.35,26987,4099,1.8226553517667077,5,0,0,0.10254283333333332,27.1254374,0.0023581878179229723,0.04912090160869518,0.9531789886815005,-0.1623586626620399,0.37379720733333327,0.1964761622742079,High,Growing,3-5yr
3,0.25,23.4,12157,0,0.0,3,0,1,0.0836863888888889,14.790211753333333,0.0010576730966172676,0.030514548248672165,0.9703890175053513,-0.4914350208253425,0.23158850642222223,0.1964761622742079,Medium,Unknown,2-3yr
6,0.14285714285714285,3.56,13122,0,0.0,3,0,0,0.04903872222222222,14.76552012,0.0007628496394379222,0.02306686143634552,0.9774532219683466,-0.9999932026967168,0.19669392342222222,0.18120805369127516,Medium,Unknown,5-10yr
5,0.16666666666666666,57.72,3584,322,1.0781249963902064,2,0,0,0.1004438611111111,27.094696366666668,0.0022153942162009646,0.1756910565533908,0.8505635850727318,-0.16389156063276453,0.37139082477777774,0.1964761622742079,Very_Low,Stable,3-5yr
6,0.14285714285714285,14.64,2632,0,0.0,3,0,0,0.04993247222222222,14.780335119999998,0.0006465787422002967,0.030514554133693403,0.9703890119636928,-0.9999933243620176,0.1977358234222222,0.18120805369127516,Very_Low,Unknown,5-10yr
4,0.2,19.42,4792,0,0.0,3,0,0,0.05000311111111111,14.755643453333334,0.001073195684128003,1.9694638706061312e-07,0.9999998030536518,-0.999993333792561,0.19755954564444445,0.1964761622742079,Low,Unknown,3-5yr
6,0.14285714285714285,20.0,7950,1100,1.660377355984336,3,0,0,0.10044738888888888,27.117636266666665,0.0022642153001327064,0.17202678010105457,0.8532228247495999,-0.16288478925026822,0.37162375155555555,0.18120805369127516,Low,Growing,5-10yr
7,0.125,18.62,324,0,0.0,3,0,1,0.04915944444444443,14.780335153333333,0.000751275485570259,0.030514524709131772,0.970389039671474,-0.9999932193889314,0.19696279597777774,0.1964761622742079,Very_Low,Unknown,5-10yr
4,0.2,27.96,2103,0,0.0,3,0,1,0.058888444444444445,15.118606853333334,0.008442368955600767,0.37910276795616227,0.725109124015468,-0.9999943396119615,0.2100745129777778,0.13818181818181818,Very_Low,Unknown,3-5yr
4,0.2,17.45,19593,0,0.0,3,0,0,0.04908361111111112,14.780335119999998,0.0006484668139189601,0.030514554133693403,0.9703890119636928,-0.9999932089130752,0.1968869623111111,0.13818181818181818,Medium,Unknown,3-5yr
3,0.25,10.16,41814,4159,1.1935715307236128,3,0,0,0.10099438888888888,27.15259,0.0022913799669039146,0.0,1.0,-0.16265138803154228,0.3725202888888889,0.13818181818181818,High,Stable,2-3yr
