id,month,price_off_peak_var,price_peak_var,price_mid_peak_var,price_off_peak_fix,price_peak_fix,price_mid_peak_fix,cutoff_month
0002203ffbb812588b632b9e628cc38d,2015-01-31,0.126098,0.103975,0.070232,40.56596939999999,24.33958068,16.22638872,2015-01-31
0004351ebdd665e6ee664792efc4fd13,2015-01-31,0.148047,0.0,0.0,44.26693116,0.0,0.0,2015-05-31
0004351ebdd665e6ee664792efc4fd13,2015-02-28,0.148047,0.0,0.0,44.26693116,0.0,0.0,2015-05-31
0004351ebdd665e6ee664792efc4fd13,2015-03-31,0.148047,0.0,0.0,44.26693116,0.0,0.0,2015-05-31
0004351ebdd665e6ee664792efc4fd13,2015-04-30,0.148047,0.0,0.0,44.26693116,0.0,0.0,2015-05-31
0004351ebdd665e6ee664792efc4fd13,2015-05-31,0.148405,0.0,0.0,44.44470996,0.0,0.0,2015-05-31
0010bcc39e42b3c2131ed2ce55246e3c,2015-01-31,0.150837,0.0,0.0,44.44470996,0.0,0.0,2015-01-31
00114d74e963e47177db89bc70108537,2015-01-31,0.1494339999999999,0.0,0.0,44.26693116,0.0,0.0,2015-02-28
00114d74e963e47177db89bc70108537,2015-02-28,0.1494339999999999,0.0,0.0,44.26693116,0.0,0.0,2015-02-28
0013f326a839a2f6ad87a1859952d227,2015-01-31,0.127818,0.105764,0.072089,40.728885,24.43733004,16.29155496,2015-01-31
00184e957277eeef733a7b563fdabd06,2015-01-31,0.149204,0.0,0.0,44.26693116,0.0,0.0,2015-01-31
001987ed9dbdab4efa274a9c7233e1f4,2015-01-31,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872,2015-05-31
001987ed9dbdab4efa274a9c7233e1f4,2015-02-28,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872,2015-05-31
001987ed9dbdab4efa274a9c7233e1f4,2015-03-31,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872,2015-05-31
001987ed9dbdab4efa274a9c7233e1f4,2015-04-30,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872,2015-05-31
001987ed9dbdab4efa274a9c7233e1f4,2015-05-31,0.125976,0.103395,0.071536,40.56596939999999,24.33958068,16.22638872,2015-05-31
0019baf3ed1242cd99b3cb592030446f,2015-01-31,0.156255,0.0,0.0,44.26693116,0.0,0.0,2015-11-30
0019baf3ed1242cd99b3cb592030446f,2015-02-28,0.279586,0.0,0.0,59.20693116,0.0,0.0,2015-11-30
0019baf3ed1242cd99b3cb592030446f,2015-03-31,0.279586,0.0,0.0,59.20693116,0.0,0.0,2015-11-30
0019baf3ed1242cd99b3cb592030446f,2015-04-30,0.279586,0.0,0.0,59.20693116,0.0,0.0,2015-11-30
